sex,year,age,drive_prop
male,1997,71,0.9215686274509803
male,1997,72,0.8979591836734694
male,1997,73,0.9574468085106383
male,1997,74,0.9024390243902439
male,1997,75,0.85
male,1997,76,0.9285714285714286
male,1997,77,0.8421052631578947
male,1997,78,0.8787878787878788
male,1997,79,0.8095238095238095
male,1997,80,0.7222222222222222
female,1998,17,0.5176470588235295
female,1998,18,0.6375
female,1998,19,0.7127659574468085
female,1998,20,0.71
female,1998,21,0.7857142857142857
female,1998,22,0.8484848484848485
female,1998,23,0.7755102040816326
female,1998,24,0.7654320987654321
female,1998,25,0.8842105263157894
female,1998,26,0.8118811881188119
female,1998,27,0.92
female,1998,28,0.8952380952380953
female,1998,29,0.8715596330275229
female,1998,30,0.7719298245614035
female,1998,31,0.897196261682243
female,1998,32,0.8934426229508197
female,1998,33,0.9300699300699301
female,1998,34,0.8809523809523809
female,1998,35,0.8852459016393442
female,1998,36,0.8956521739130435
female,1998,37,0.8686131386861314
female,1998,38,0.8828828828828829
female,1998,39,0.9175257731958762
female,1998,40,0.8061224489795918
female,1998,41,0.8735632183908046
female,1998,42,0.8380952380952381
female,1998,43,0.7804878048780488
female,1998,44,0.8901098901098901
female,1998,45,0.7631578947368421
female,1998,46,0.8602150537634409
female,1998,47,0.8137254901960784
female,1998,48,0.8539325842696629
female,1998,49,0.8155339805825242
female,1998,50,0.8804347826086957
female,1998,51,0.74
female,1998,52,0.8529411764705882
female,1998,53,0.7368421052631579
female,1998,54,0.8493150684931506
female,1998,55,0.8181818181818182
female,1998,56,0.7894736842105263
female,1998,57,0.6507936507936508
female,1998,58,0.7068965517241379
female,1998,59,0.8225806451612904
female,1998,60,0.7
female,1998,61,0.7666666666666667
female,1998,62,0.7857142857142857
female,1998,63,0.7846153846153846
female,1998,64,0.7166666666666667
female,1998,65,0.7222222222222222
female,1998,66,0.65625
female,1998,67,0.660377358490566
female,1998,68,0.7142857142857143
female,1998,69,0.7547169811320755
female,1998,70,0.7424242424242424
female,1998,71,0.7083333333333334
female,1998,72,0.6607142857142857
female,1998,73,0.65
female,1998,74,0.7068965517241379
female,1998,75,0.631578947368421
female,1998,76,0.7446808510638298
female,1998,77,0.6271186440677966
female,1998,78,0.7230769230769231
female,1998,79,0.8157894736842105
female,1998,80,0.59375
male,1998,17,0.4805194805194805
male,1998,18,0.6736842105263158
male,1998,19,0.8625
male,1998,20,0.7936507936507936
male,1998,21,0.7954545454545454
male,1998,22,0.8846153846153846
male,1998,23,0.8863636363636364
male,1998,24,0.898876404494382
male,1998,25,0.925531914893617
male,1998,26,0.9789473684210527
male,1998,27,0.9595959595959596
male,1998,28,0.9504950495049505
male,1998,29,0.9690721649484536
male,1998,30,0.9736842105263158
male,1998,31,1
male,1998,32,0.967032967032967
male,1998,33,0.954954954954955
male,1998,34,1
male,1998,35,0.9791666666666666
male,1998,36,0.9666666666666667
male,1998,37,0.9912280701754386
male,1998,38,0.9478260869565217
male,1998,39,0.9545454545454546
male,1998,40,0.978021978021978
male,1998,41,0.96875
male,1998,42,0.9772727272727273
male,1998,43,0.9696969696969697
male,1998,44,0.9382716049382716
male,1998,45,0.9726027397260274
male,1998,46,0.9404761904761905
male,1998,47,0.9558823529411765
male,1998,48,0.9315068493150684
male,1998,49,0.9411764705882353
male,1998,50,0.9880952380952381
male,1998,51,0.9739130434782609
male,1998,52,0.927536231884058
male,1998,53,0.9850746268656716
male,1998,54,0.9523809523809523
male,1998,55,0.9714285714285714
male,1998,56,0.9620253164556962
male,1998,57,0.9636363636363636
male,1998,58,0.9230769230769231
male,1998,59,0.95
male,1998,60,0.9482758620689655
male,1998,61,0.9090909090909091
male,1998,62,0.9523809523809523
male,1998,63,0.9777777777777777
male,1998,64,0.875
male,1998,65,0.9512195121951219
male,1998,66,0.9056603773584906
male,1998,67,0.8909090909090909
male,1998,68,0.925
male,1998,69,0.9523809523809523
male,1998,70,0.8936170212765957
male,1998,71,0.8367346938775511
male,1998,72,0.8775510204081632
male,1998,73,0.8837209302325582
male,1998,74,0.9166666666666666
male,1998,75,0.9523809523809523
male,1998,76,0.9090909090909091
male,1998,77,0.8974358974358975
male,1998,78,0.8285714285714286
male,1998,79,0.9230769230769231
male,1998,80,0.8947368421052632
female,1999,17,0.4803921568627451
female,1999,18,0.6511627906976745
female,1999,19,0.7769230769230769
female,1999,20,0.7313432835820896
female,1999,21,0.7682119205298014
female,1999,22,0.864
female,1999,23,0.8650793650793651
female,1999,24,0.8461538461538461
female,1999,25,0.8625954198473282
female,1999,26,0.8455882352941176
female,1999,27,0.8343949044585988
female,1999,28,0.8923076923076924
female,1999,29,0.9069767441860465
female,1999,30,0.88
female,1999,31,0.8502994011976048
female,1999,32,0.8580645161290322
female,1999,33,0.8895027624309392
female,1999,34,0.9035532994923858
female,1999,35,0.8691099476439791
female,1999,36,0.8971428571428571
female,1999,37,0.9117647058823529
female,1999,38,0.8802395209580839
female,1999,39,0.8580246913580247
female,1999,40,0.9271523178807947
female,1999,41,0.8796992481203008
female,1999,42,0.8264462809917356
female,1999,43,0.8540145985401459
female,1999,44,0.8581081081081081
female,1999,45,0.936
female,1999,46,0.860655737704918
female,1999,47,0.8333333333333334
female,1999,48,0.8571428571428571
female,1999,49,0.872
female,1999,50,0.8079470198675497
female,1999,51,0.8540145985401459
female,1999,52,0.7737226277372263
female,1999,53,0.8102189781021898
female,1999,54,0.8106060606060606
female,1999,55,0.8035714285714286
female,1999,56,0.853448275862069
female,1999,57,0.7711864406779662
female,1999,58,0.8064516129032258
female,1999,59,0.7441860465116279
female,1999,60,0.8191489361702128
female,1999,61,0.7692307692307693
female,1999,62,0.7625
female,1999,63,0.7717391304347826
female,1999,64,0.7906976744186046
female,1999,65,0.78301886792452835
female,1999,66,0.704225352112676
female,1999,67,0.7692307692307693
female,1999,68,0.6774193548387096
female,1999,69,0.7105263157894737
female,1999,70,0.7052631578947368
