sex,year,age,mean_ghq
female,1996,75,2.6
female,1996,76,1.75
female,1996,77,2.2758620689655173
female,1996,78,1.736842105263158
female,1996,79,1.9714285714285715
female,1996,80,2.08
female,1996,81,2.380952380952381
female,1996,82,1.2
female,1996,83,1.9285714285714286
female,1996,84,2.8095238095238093
female,1996,85,3.090909090909091
female,1996,86,2.3125
female,1996,87,1.8
female,1996,88,3.25
female,1996,89,1.4
female,1996,90,1.5714285714285714
female,1996,91,4.25
female,1996,92,0
female,1996,93,1
female,1996,94,3
female,1996,95,2
female,1996,96,NaN
female,1996,97,NaN
female,1997,15,1.5333333333333334
female,1997,16,2.2045454545454546
female,1997,17,2.5795454545454546
female,1997,18,2.4878048780487805
female,1997,19,2.156862745098039
female,1997,20,1.8645833333333333
female,1997,21,2.4299065420560746
female,1997,22,2.1067961165048543
female,1997,23,2.1604938271604937
female,1997,24,1.7872340425531914
female,1997,25,1.6764705882352942
female,1997,26,2.4761904761904763
female,1997,27,2.686868686868687
female,1997,28,2.4271844660194173
female,1997,29,2.1709401709401708
female,1997,30,2.247787610619469
female,1997,31,1.824
female,1997,32,2.7720588235294117
female,1997,33,2.0916030534351147
female,1997,34,2.7280701754385963
female,1997,35,2.6842105263157894
female,1997,36,2.3649635036496353
female,1997,37,2.4601769911504423
female,1997,38,2.145631067961165
female,1997,39,2.382978723404255
female,1997,40,2.5764705882352943
female,1997,41,2.6126126126126126
female,1997,42,2.4731182795698925
female,1997,43,2.104651162790698
female,1997,44,2.5833333333333335
female,1997,45,2.425287356321839
female,1997,46,2.1346153846153846
female,1997,47,2.6989247311827955
female,1997,48,2.5242718446601944
female,1997,49,2.7058823529411766
female,1997,50,2.2637362637362637
female,1997,51,2.9702970297029703
female,1997,52,2.3469387755102042
female,1997,53,2.1791044776119404
female,1997,54,2.6375
female,1997,55,2.8375
female,1997,56,2.032258064516129
female,1997,57,2.293103448275862
female,1997,58,1.791044776119403
female,1997,59,2.2222222222222223
female,1997,60,2.0892857142857144
female,1997,61,2.1186440677966103
female,1997,62,2.378787878787879
female,1997,63,1.8852459016393444
female,1997,64,1.5384615384615385
female,1997,65,1.8153846153846154
female,1997,66,1.8113207547169812
female,1997,67,1.6607142857142858
female,1997,68,2.23728813559322
female,1997,69,1.5909090909090908
female,1997,70,1.9444444444444444
female,1997,71,2.0172413793103448
female,1997,72,1.6623376623376624
female,1997,73,2
female,1997,74,1.4666666666666666
female,1997,75,2.3333333333333335
female,1997,76,2.847457627118644
female,1997,77,1.8
female,1997,78,2.4871794871794872
female,1997,79,1.7
female,1997,80,2.1666666666666665
female,1997,81,2.125
female,1997,82,2.5
female,1997,83,2.411764705882353
female,1997,84,1.206896551724138
female,1997,85,2.12
female,1997,86,2.24
female,1997,87,1.2941176470588236
female,1997,88,1.9166666666666667
female,1997,89,3.3333333333333335
female,1997,90,0.6
female,1997,91,2.5
female,1997,92,5.2
female,1997,93,2
female,1997,94,0
female,1997,95,3
female,1997,96,1
female,1997,99,NaN
female,1998,15,2.5555555555555554
female,1998,16,1.9857142857142858
female,1998,17,2.623529411764706
female,1998,18,2.6625
female,1998,19,2.5208333333333335
female,1998,20,2.504950495049505
female,1998,21,1.846938775510204
female,1998,22,2.2577319587628866
female,1998,23,1.4948453608247423
female,1998,24,1.8888888888888888
female,1998,25,2.15625
female,1998,26,1.6868686868686869
female,1998,27,2.33
female,1998,28,2.5576923076923075
female,1998,29,2.293577981651376
female,1998,30,2.417391304347826
female,1998,31,2.1682242990654204
female,1998,32,1.9508196721311475
female,1998,33,2.3566433566433567
female,1998,34,2.0952380952380953
female,1998,35,3.26890756302521
female,1998,36,2.4035087719298245
female,1998,37,2.4393939393939394
female,1998,38,2.5
female,1998,39,2.6736842105263157
female,1998,40,2.125
female,1998,41,3.0348837209302326
female,1998,42,2.3904761904761904
female,1998,43,1.9146341463414633
female,1998,44,2.111111111111111
female,1998,45,3.2266666666666666
female,1998,46,2.21505376344086
female,1998,47,2.18
female,1998,48,2.3146067415730336
female,1998,49,2.088235294117647
female,1998,50,2.913978494623656
female,1998,51,2.02
female,1998,52,2.277227722772277
female,1998,53,1.9583333333333333
female,1998,54,2.5142857142857142
female,1998,55,2.539473684210526
female,1998,56,2.4594594594594597
female,1998,57,1.507936507936508
female,1998,58,2.25
female,1998,59,1.7868852459016393
female,1998,60,2.1
female,1998,61,1.7017543859649122
female,1998,62,1.5
female,1998,63,2.390625
female,1998,64,1.7118644067796611
female,1998,65,2.0754716981132075
female,1998,66,1.9523809523809523
female,1998,67,1.9814814814814814
female,1998,68,1.2857142857142858
female,1998,69,1.9803921568627452
female,1998,70,1.6779661016949152
female,1998,71,1.565217391304348
female,1998,72,1.912280701754386
female,1998,73,2.1153846153846154
female,1998,74,1.603448275862069
female,1998,75,1.6785714285714286
female,1998,76,2.2093023255813953
female,1998,77,2.2758620689655173
female,1998,78,1.3114754098360655
female,1998,79,1.4848484848484849
female,1998,80,3
female,1998,81,1.8205128205128205
female,1998,82,3.0357142857142856
female,1998,83,2.1739130434782608
female,1998,84,3.161290322580645
female,1998,85,1.9230769230769231
female,1998,86,3.2857142857142856
female,1998,87,2.8636363636363638
female,1998,88,1.0714285714285714
female,1998,89,2.4166666666666665
female,1998,90,2
female,1998,91,1.2
female,1998,92,1.3333333333333333
female,1998,93,0.3333333333333333
female,1998,94,4
female,1998,95,NaN
female,1998,96,1
female,1998,97,0
female,1998,99,NaN
female,1999,15,2
female,1999,16,1.7112676056338028
female,1999,17,2.3168316831683167
female,1999,18,2.062015503875969
female,1999,19,2.255813953488372
female,1999,20,2.169230769230769
female,1999,21,1.610738255033557
female,1999,22,2.312
female,1999,23,2.1693548387096775
female,1999,24,1.96875
female,1999,25,1.703125
female,1999,26,1.7878787878787878
female,1999,27,1.9230769230769231
female,1999,28,2.3488372093023258
female,1999,29,2.3095238095238093
female,1999,30,1.9054054054054055
female,1999,31,1.9819277108433735
female,1999,32,2.1315789473684212
female,1999,33,2.106741573033708
female,1999,34,1.809278350515464
female,1999,35,2.210810810810811
female,1999,36,2.2369942196531793
female,1999,37,1.8757396449704142
female,1999,38,2.720496894409938
female,1999,39,2.1835443037974684
female,1999,40,2.3655172413793104
female,1999,41,2.1515151515151514
female,1999,42,2.8925619834710745
female,1999,43,2.736842105263158
female,1999,44,1.8181818181818181
female,1999,45,2.154471544715447
female,1999,46,2.206896551724138
female,1999,47,2.4098360655737703
female,1999,48,2.0955882352941178
female,1999,49,1.8951612903225807
female,1999,50,1.9794520547945205
female,1999,51,2
female,1999,52,2.4296296296296296
female,1999,53,1.9558823529411764
female,1999,54,1.7538461538461538
female,1999,55,2.2336448598130842
female,1999,56,2.4649122807017543
female,1999,57,2.263157894736842
female,1999,58,1.6195652173913044
female,1999,59,1.8658536585365855
female,1999,60,1.989010989010989
female,1999,61,2.0707070707070705
female,1999,62,2.1578947368421053
female,1999,63,1.9666666666666666
female,1999,64,1.951219512195122
female,1999,65,2.1515151515151514
female,1999,66,1.9855072463768115
female,1999,67,2.0804597701149423
female,1999,68,1.125
female,1999,69,1.8571428571428572
female,1999,70,1.9891304347826086
female,1999,71,1.684782608695652
female,1999,72,1.6323529411764706
