"","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"22",0.00116723259049368,0.00112108338978999,0.00110396790797702,0.00111008944541271,0.00113523943338861,0.00117593891410532,0.0012281310609703,0.00128621998554301,0.00134343910319976,0.00139179258600206,0.0014223637005639,0.0014302581412693,0.00142134494686321,0.00140353571524818,0.00138466268423308,0.00137220397750788,0.00137124204609216,0.00137777350956388,0.00138543651543315,0.00138776952290673,0.0013783096677745,0.00135202597094536,0.0013124803792604,0.00126680453291002,0.00122146552165743,0.00118209789270141,0.00115335138456219,0.00113517845826368,0.00112438723220958,0.00111798929516229,0.00111314072355607,0.00110706653333588,0.00109704022565392,0.0010804434626533,0.001054914179463,0.00101852743125143,0.000970024961525682,0.000912545307193902,0.000856361692149337,0.000810475228134525,0.000782078641789103,0.00077792496641304,0.000802704147739702,0.000849773081281892,0.000909056421587495,0.00096789858966738,0.00101025443423529,0.00102056478972647,0.00100131037861916,0.000963986201620976,0.000920051884844025,0.000879546211596206,0.000850620009299657,0.000837003665500094,0.000840268187504866,0.000862906860611949,0.000908912348414498
"23",0.00106561653823882,0.00102478841006908,0.00100865792054275,0.00101214702063081,0.00103144684853062,0.00106332128630446,0.00110427846099654,0.00114997590628855,0.00119531039845632,0.00123435545238655,0.00126054024025895,0.00127026716221065,0.00126793966864775,0.00125947302024095,0.00125079895429049,0.00124771705607016,0.00125419940805408,0.00126669161698735,0.00127955429203004,0.00128694427830804,0.00128293206572476,0.00126286191245999,0.00123013181338486,0.00119155426289976,0.00115337785439336,0.0011211254752403,0.00109944726968462,0.00108837035789866,0.0010847544031685,0.00108560726474419,0.00108801491526054,0.00108905402689349,0.00108555730115284,0.00107413377128573,0.00105165123311288,0.00101554295928105,0.000964170597477807,0.000901103229759112,0.000838015235310305,0.000784911085750428,0.000749401689302111,0.00073819141903104,0.000755702520783059,0.00079542339309722,0.000848000471806522,0.000902046053841137,0.000943150168558144,0.000957056371890415,0.000945369361521067,0.000917740362897391,0.00088399310944274,0.000852992271662851,0.000832217700776873,0.000825402861397741,0.000834415868167795,0.000862009533551325,0.000912388663696733
"24",0.000946936139769929,0.000908785812350257,0.000893184418611302,0.000894960876975056,0.000910111987110347,0.000935106071305333,0.000966683141277165,0.00100169891528013,0.00103659014707765,0.00106728593701424,0.00108930197793431,0.00110022567234062,0.00110323542095654,0.00110256658940564,0.00110252624323538,0.0011074338341446,0.00112025789603695,0.00113790419790341,0.00115547492683592,0.00116778305580447,0.00116947328881676,0.00115628025559426,0.00113133172207176,0.00110097543296357,0.00107112293948547,0.00104710024450937,0.00103351062155566,0.00103049719597264,0.00103505481892877,0.00104425360903302,0.00105515471246348,0.00106470586248332,0.00106922443074061,0.00106434293823846,0.00104591752462302,0.0010105227824085,0.000956024724272805,0.000886556591989398,0.000815559665250626,0.000754286023226873,0.000710831291121886,0.000691777236870312,0.000701126739264588,0.000732394966909511,0.00077690144463776,0.000824539495876944,0.000862651046918755,0.000878526233200357,0.000873094825931292,0.000854257237567631,0.000830193030876246,0.00080849112212907,0.00079579479742496,0.000795638891858532,0.000809980720504458,0.000841605606598223,0.000894642054699886
"25",0.000827250036864244,0.000789642921664579,0.000774774295614915,0.000776598967891097,0.000790354999114021,0.000811689967516855,0.000837177505496565,0.00086464886232086,0.000891773167886284,0.000915923035389812,0.00093422916318674,0.000945246358652604,0.000951342165071601,0.00095560940498378,0.0009612311103166,0.000971473037119256,0.000988591561799908,0.00100995016982203,0.00103135709709589,0.00104827060684748,0.00105589844987109,0.00105031107020643,0.00103413275915955,0.00101296018651283,0.000992128022557369,0.000976571058337644,0.000970688075830304,0.000974793966801083,0.000986220916919713,0.00100229774760017,0.00102026596045991,0.00103716351463973,0.00104893125148388,0.00105021912054327,0.0010358129435271,0.00100135178845653,0.000944158158218313,0.000868927305386435,0.000790852772607274,0.000722395542715869,0.000672071394092795,0.000646264655606485,0.000648495029859639,0.000672263222609621,0.000709461502055871,0.000751095951202878,0.000786066773896678,0.000803102619169365,0.000802633554458473,0.000791095498862395,0.000775256301160126,0.000761563186906522,0.000755859389533186,0.000761447924795499,0.000780326027536744,0.000815266999542793,0.000870287433973042
"26",0.000714355992903399,0.000675563870479264,0.00066173479840188,0.000665275953363492,0.000680227886825671,0.000700974954284011,0.000723529168616632,0.000746439103764541,0.000768300387602593,0.00078755263353533,0.000802519134566956,0.000812524330256738,0.000819499644919189,0.000825879477241431,0.000834188464246499,0.000847062349581437,0.000866360632724569,0.000889915629814658,0.000914213512324645,0.000935356125461598,0.000949114898947464,0.000951854133868798,0.000945462590100989,0.000934478206525212,0.000923377840133303,0.000916452001883707,0.000917660684663089,0.000927495470854262,0.000943815759041176,0.000964410715942692,0.000986937899410756,0.00100880932168912,0.00102584447854036,0.00103187426057012,0.0010207411004987,0.000987230914774252,0.000928157461618165,0.000848656572696048,0.000765329394658714,0.000691574792976309,0.000636169016667448,0.000605224787421947,0.00060176984677286,0.000619333221864897,0.000650336917561296,0.000686771644601024,0.000718929092202282,0.000736861884126672,0.000740597615402095,0.000735301817697204,0.000726499628689152,0.000719599568887296,0.00071967923941223,0.000729906864561891,0.000752494569641084,0.000790415979418797,0.000847878148190886
"27",0.000608424076093269,0.000567005529213151,0.000554185936276146,0.000560312030290852,0.000578002305953202,0.000600094966385792,0.000621710580688803,0.000641900300402786,0.000659978493620953,0.000675222197908521,0.000686897044871242,0.000694981397837353,0.000701202332827062,0.000707631759349653,0.000716424162397592,0.000729856078528579,0.000749601753151146,0.000773985310605406,0.000800179574848346,0.000824970992181024,0.000844753933855142,0.000856229514907122,0.000860443983926385,0.000860670507914813,0.000860296295868943,0.000862722050385959,0.000871218133338864,0.000886377766538648,0.000906665158804971,0.000930427066300454,0.000955864405407373,0.000980932513502192,0.00100153715247774,0.00101091471074142,0.00100218662032311,0.000969474589885654,0.000909202841609239,0.000826810711229349,0.000739837311386304,0.00066227041584817,0.000602958795043747,0.000567645524636347,0.00055882745052223,0.000570178871185398,0.000594740587222806,0.000625571992765184,0.000654501237041067,0.000673108480654234,0.000681026646357389,0.000682035833290569,0.000680270371960872,0.000679914694149908,0.000685077979926296,0.000698961837864191,0.000724463267081824,0.000765314476152192,0.000826676025208981
"28",0.000509615869714614,0.000464786137352358,0.000452778244965391,0.000461603192310864,0.000482538117614876,0.000506847993639966,0.000528543650084612,0.000546979111683015,0.000562031481253984,0.000573672229910343,0.000581961957235472,0.000587460343519136,0.000591817146703471,0.000596901812375604,0.00060465263682719,0.000617131961926894,0.000635942448343921,0.000659910342734094,0.000686911435990031,0.000714474267833286,0.000739713957742788,0.00075979017933951,0.000774950694873448,0.000787139270935281,0.00079850448429852,0.000811339404226651,0.000827963169884393,0.000848914833774132,0.000873230079023334,0.000899809629692024,0.000927418802292459,0.00095460604125992,0.000977502192998302,0.000988998074033568,0.000981774203826128,0.000949555984360203,0.000888572355594907,0.000804436088071702,0.000715083449898952,0.000634708488776269,0.000572045074344197,0.000532366243968833,0.000517590828981063,0.000521725542557418,0.00053861089291422,0.000562579255021149,0.000587307957342568,0.000606294123356978,0.000618758067910314,0.000626830397224395,0.000632919930510529,0.000639580087687666,0.000649518488846636,0.000666150368316249,0.000693752403578433,0.000737667099409391,0.000805215678630872
"29",0.000418557763581593,0.000370445066842681,0.00035906237086138,0.000370088871697512,0.00039386247129072,0.000420349803805902,0.000442385122315981,0.000459425661607184,0.000471773645567832,0.000479992456512527,0.000484838009619798,0.000487388887119228,0.000489269782828142,0.000492214013103316,0.000498002310622827,0.000508533473460985,0.000525370443746703,0.000547821183325383,0.000574459876437173,0.00060359949841653,0.000633179620310834,0.000660993511430113,0.00068669166404829,0.000710999221563823,0.000734803463543547,0.000759136603945772,0.000785111692479223,0.000812975998205466,0.000842185721557579,0.000872087151128588,0.000901927766885268,0.00093078859126719,0.000955097376554904,0.000967657978260337,0.000961027775320557,0.000928863774450627,0.000867457839323291,0.000782481516927366,0.000691683574100337,0.000609069230148557,0.000543087541663883,0.000498465554671034,0.000476535150825818,0.000471910708531379,0.000479468261723567,0.000495022655184205,0.000514381692289196,0.000533330459084599,0.000550694572107635,0.000566748898481896,0.00058183793119515,0.000596363162829743,0.00061099957457463,0.000629503119277465,0.000658350501474436,0.000705545570460427,0.000782182134466224
"30",0.000336100107653205,0.000285796706384505,0.000274982098323214,0.00028729600738549,0.000312789422985934,0.000340684917283601,0.000362753353839532,0.000378363679762637,0.000388110813760976,0.000393060289113476,0.000394574114812635,0.000394173653559663,0.000393454959776341,0.000394016953701075,0.000397476329505509,0.000405553480636296,0.000419741883200738,0.000439772419083949,0.000464872338761263,0.000494137689324351,0.000526404188887067,0.000560285067884563,0.0005951706463528,0.000630870074464311,0.000667159530959243,0.000703778805298771,0.000740430249874692,0.000776763821710383,0.000812379198740142,0.000846840222624911,0.000879680467401809,0.000910341569053382,0.000935554146112577,0.00094829749345504,0.000941351427332505,0.000908679776812252,0.000846949266566355,0.000761795291652168,0.000670169105015441,0.000585492572769573,0.000515792335050224,0.000465233000321123,0.000434655013129002,0.000419676171986382,0.000416458064473119,0.000422384033321944,0.000435426511608462,0.000453783458125846,0.000475987864438787,0.000500522555474229,0.000525532650905377,0.000548771761586889,0.000568105237428321,0.000587627583555172,0.000616830662439246,0.000667490126221872,0.000756420968732683
"31",0.000262301248979112,0.000212289497371349,0.000202354100965905,0.000214882181465534,0.000240460215259389,0.000268356622526783,0.000289640228197928,0.0003034708999902,0.000310640102923812,0.000312644632038099,0.00031136326447098,0.000308642469565898,0.000305939244740723,0.000304612300498089,0.000306008840902492,0.00031155616683344,0.000322558463645427,0.000339112673527542,0.000361071309860114,0.000388333818748946,0.000420756279829454,0.000458067062222473,0.000499847069945168,0.000545414716357577,0.000593704507593176,0.000643190782282871,0.000691910454489079,0.000738515971694594,0.000782402344293633,0.000823065020686587,0.000860092969701701,0.000893107891941658,0.000919127986047774,0.000931513010529472,0.000923553609112118,0.000889846140685034,0.000827714118718545,0.000742704167874506,0.00065049192531936,0.000563628124454013,0.000489668587449709,0.000432319491465609,0.000392189835555983,0.000366302944643379,0.000352184118011473,0.000348511512120091,0.000354907531646989,0.00037153108917472,0.000396872657958028,0.000428287824276249,0.000462271867113192,0.000494066088288642,0.00051838976118636,0.000539264100297733,0.000569090896248024,0.000623558597813185,0.000726053930322732
