"","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"10",0.000204721273631049,0.000160206466595413,0.000160222104515425,0.000134702034996323,0.000127839119980829,0.000123398989438845,0.000116683654080871,9.47879895044481e-05,9.54815586072748e-05,6.10147163746285e-05,1.08470631332193e-05,2.43968451149688e-05,2.45761663587689e-07,6.61344474872505e-05,0,2.56292534777811e-05,2.53462011881298e-06,0,2.42465869811809e-05,6.12748006709879e-06,-8.71944092319702e-07,9.51379487705465e-07,5.42786940036453e-05,4.36767372967485e-06,5.93963034945524e-05,6.32592994465597e-05,2.91445026986853e-05,1.63370301164393e-05,1.59218579007311e-05,1.48356885744928e-05,-1.01327940089587e-06,-4.43070567029973e-07,3.0693910171979e-07,7.39463046900968e-07,6.4294644697018e-07,3.186509653159e-07,-5.37847001292276e-07,-1.86076939022691e-06,-5.85951774197221e-06,-2.31105853512256e-05,-6.2246548055588e-06,-3.30451457566268e-06,1.86337476263842e-06,-1.97453185288856e-06,2.59928553305766e-07,3.29827970481678e-07,1.87811694751957e-07,6.67399338570778e-08,1.05696872487309e-07,1.18067923935971e-07,6.99001185154403e-08,8.49073040625991e-08,-8.1108865935895e-08,1.29174365316956e-07,-1.02826366709686e-08,1.0784780429537e-07,-9.65428824399438e-08
"11",0.000254708591361831,0.000205022198809548,0.00020326092017484,0.000174976003536303,0.000167579977054825,0.000163477601562828,0.000156186970260322,0.000136418410467044,0.000132640809583025,9.91771718035944e-05,2.98997497763584e-05,5.04846023165326e-05,1.04178409349162e-05,0.000100509824381968,5.35716184892334e-05,5.41539907155996e-05,1.33946846139252e-05,4.74156087027782e-05,4.9602546573465e-05,2.05278690865504e-05,4.67514710970976e-06,7.63958597939022e-06,8.19508359488543e-05,1.64382731597434e-05,8.68837429569676e-05,9.20485433118259e-05,5.49755085992789e-05,3.76755770364544e-05,3.60930630002107e-05,2.96373678894085e-05,2.65322721692874e-06,1.93608720657543e-06,5.66112541391704e-06,5.38152183464295e-06,6.47154700167964e-06,3.72186323017518e-06,7.55228027678233e-07,-3.80028170760868e-06,-1.1159598126544e-05,-3.36524417892765e-05,-1.41650456266762e-05,-7.3686291929796e-06,4.65534408640178e-06,-4.87879649291468e-06,1.64174392454991e-06,1.93750497882093e-06,1.29781874202878e-06,6.02075629955043e-07,8.71338275294696e-07,9.45543583932377e-07,5.70354101268788e-07,6.76573006700928e-07,3.32262651333057e-07,1.15757348385968e-06,6.92489720786653e-07,1.35728994568201e-06,7.72145444810874e-07
"12",0.000316827048619796,0.000262336440719673,0.000257838618062233,0.000227249562551661,0.000219649354686566,0.000216591161538026,0.000209052079161474,0.000195151343396498,0.00018423679348717,0.000158220345407353,7.16180177777785e-05,9.84097932914353e-05,4.07531466193703e-05,0.000152624739420042,0.000105566995834082,0.000107231303808163,4.39278123377225e-05,9.23381272106284e-05,9.73477356031716e-05,5.54884551281496e-05,2.64356780863137e-05,3.08738314678569e-05,0.000123644984558091,4.72030941775549e-05,0.000127063803472111,0.000133932071258714,0.000100123857237932,8.22303360782584e-05,7.75514740165011e-05,5.79251168086177e-05,2.07809881887198e-05,1.76315918318618e-05,2.92207492120925e-05,2.58335537957875e-05,3.24995855187735e-05,2.27562177455367e-05,1.32642240372352e-05,-2.78000476094924e-07,-1.05082955409466e-05,-3.69823904783856e-05,-2.31933090978963e-05,-1.08524376390423e-05,1.07600098708103e-05,-7.7993170331887e-06,7.68918974949985e-06,8.50436632265596e-06,6.62624752148818e-06,3.86716000038282e-06,4.83962839574958e-06,5.01428092613007e-06,3.29950808840822e-06,3.77670606642493e-06,2.95310004166288e-06,5.17109639518289e-06,4.11919873303369e-06,5.93110240907762e-06,4.70291344473575e-06
"13",0.00039416304317775,0.000335649710233324,0.000326983658566792,0.000295173751323883,0.000287863099292194,0.00028705737609058,0.000279814830182943,0.000276814512109435,0.000255961249679054,0.000246466142214507,0.000153547836952636,0.000180632111924098,0.00011199446449901,0.00023161799649762,0.00019928262501104,0.000198151964299658,0.000113585971605824,0.000172688920244069,0.000180842962055021,0.000128197544323793,8.74188312344886e-05,9.27911093145824e-05,0.000186471702204293,0.000112846028299523,0.000185915216747647,0.000194884853073689,0.00017378557952014,0.000166107633258824,0.000154643406649355,0.000110418792841188,7.67499683220737e-05,7.48579078945724e-05,0.000100232674358394,8.98592570965287e-05,0.000110128572248182,8.9892393012908e-05,6.5149140462977e-05,3.31030136095732e-05,1.85988251642453e-05,-1.45243680669701e-05,-1.62375453282139e-05,-1.49328503670258e-06,2.44538269263204e-05,-3.21256394408064e-07,2.79117014405261e-05,2.9217992618866e-05,2.58148028336682e-05,1.81972749759664e-05,1.97668513481693e-05,1.96736420124068e-05,1.42428610259661e-05,1.57372500656462e-05,1.30666774279111e-05,1.74908972676386e-05,1.56078903178139e-05,1.90519065111117e-05,1.73038575721628e-05
"14",0.000490236774994146,0.000429307832359269,0.000414391397281024,0.000383309250377188,0.000377158715990315,0.000380522618434435,0.000374511945670128,0.000388331648029561,0.000355747174812794,0.000372742525053657,0.000295151302497533,0.000310447887371155,0.000248597961547368,0.000350932784645999,0.000353047591582077,0.00033930306692884,0.000244415465889426,0.000303956209345059,0.000313238190649562,0.000257566577709153,0.00021888368188826,0.000223105776667927,0.000280786716889254,0.000230340962585552,0.000271951316664935,0.000283269795942057,0.000283313685576192,0.000302918846348935,0.000279424339061922,0.000201869470776537,0.000200648280463789,0.000214679019560177,0.000248334944104508,0.000233471349027022,0.000267698295500654,0.000242414529967872,0.000199531608289021,0.000141814828289013,0.000107465277415598,5.82315295092369e-05,4.04798390847983e-05,4.53274491974559e-05,5.69084868118515e-05,4.2244159639973e-05,7.97708651805878e-05,8.04798374472097e-05,7.79661951618047e-05,6.3636010319851e-05,6.15599660341889e-05,5.9479191526164e-05,4.69334041054591e-05,5.02438661268583e-05,4.15706830989647e-05,4.82769963321867e-05,4.50518025173063e-05,4.98564685004674e-05,4.91038294582393e-05
"15",0.00060921710988216,0.00054857994835944,0.000521935171528427,0.000497278861120397,0.000493698023721009,0.000504092259072706,0.000500802938165077,0.000536986138085855,0.000494028458765796,0.000543570521581314,0.000503821362561847,0.000495251407740354,0.000461019698281451,0.000524186917430626,0.000574710190807167,0.000533720287987232,0.000443881259283197,0.000493031512837789,0.000497876070547778,0.000451300978162447,0.000436149972830123,0.000437049185784507,0.000417541933725178,0.000403762349412482,0.000393519258825061,0.000407156335397732,0.000427274560290322,0.000486286775681903,0.000446603884415618,0.000346500291772456,0.000397351350214813,0.000448444417705151,0.000466563257145855,0.000458848092902399,0.000490756653208019,0.000472257191085268,0.000426473386812766,0.000349888834835834,0.0002672215062472,0.00019516345050979,0.000171384762319312,0.000152453390619133,0.000132976461222428,0.000147773318958954,0.00018296837774895,0.000181389000180927,0.00018447090944158,0.000167087391183181,0.000150718983346187,0.000142869902855127,0.000119677659920888,0.000124712437643321,0.000103628644187515,0.000111607359600896,0.000104412632233801,0.00010999274099013,0.000114172285572544
"16",0.00075063962926121,0.00069409206597498,0.000647174249218283,0.000638717100030531,0.000639507447864758,0.000660458866136522,0.000662002984122964,0.000724712858525469,0.000677312454062979,0.000758435077250454,0.000766532303100859,0.000731090807966216,0.000730662758245667,0.000756334698617803,0.000842874728619805,0.000770558975629549,0.000692597390781145,0.000722534757703997,0.000724277139920075,0.000696020611265685,0.000715005163522589,0.000713651507930675,0.000602408082639316,0.000616278508964242,0.00055369727795727,0.000569285814361291,0.000595331625552528,0.000689900400562547,0.000633639219628729,0.000545262474221679,0.000625338955063765,0.00072222015049502,0.000703825488856845,0.000708547467600245,0.000720887635406229,0.000713144177355417,0.000683741491582527,0.000605938693864935,0.000466623867477493,0.000377680622062749,0.000356071502285126,0.000316438287670977,0.000285351071920657,0.00031992441139364,0.000345275896883741,0.000340411269852291,0.000350562625641796,0.000339553020296996,0.000299314277817751,0.000280889765625107,0.000242597483471446,0.000247325747368997,0.000211423003351463,0.000219136273998039,0.000200895441092175,0.000208269284733384,0.00022291220825428
"17",0.000905639415858199,0.000857272535763301,0.000782291603366128,0.000800577502068311,0.000807452482673907,0.000841868119941652,0.000850800394349679,0.000941254350766419,0.00089979181742216,0.00100344515546141,0.00105049816259844,0.000997873959243745,0.00101300112851218,0.00103281938682954,0.00111545088046057,0.00102451581061406,0.000950218763367786,0.000958445313121425,0.000968664996769811,0.000958220327087179,0.000999219826154727,0.00100118159233222,0.000828185306790808,0.000835664165114809,0.000744467613352823,0.000761380655464943,0.000770966980007597,0.000882437101239173,0.000813273734366812,0.000767114318178699,0.000824316456252874,0.000953001463723819,0.000899116895752793,0.000907624131524765,0.000897683396399951,0.000892478388976746,0.0008838240061422,0.00081491976066536,0.000647357929289544,0.000557382282840173,0.00053379079828963,0.000498708042080981,0.000508178886505382,0.000521806413679708,0.000548723947145164,0.000540655058543716,0.000553320585229349,0.000557079776697626,0.000496033116580105,0.000464071184230758,0.000404882736234695,0.00040596931438128,0.000362996400015634,0.000369041714043657,0.000330301864110748,0.000342653220858482,0.000371112515551692
"18",0.00105648792077136,0.00101892658906523,0.000913041750166193,0.000965057851894145,0.000978842725526955,0.00102686756606475,0.00104550371905308,0.00115978492594391,0.00113658716756975,0.00124673830198248,0.00130707348652248,0.0012563078919637,0.00125378744549949,0.00130771029828774,0.00134788749148928,0.00125770522966384,0.00117110884519001,0.00116490698668064,0.0011953649872363,0.00119281621238276,0.00122912706801344,0.0012415272871204,0.00106558967028851,0.00102552723267513,0.000940169194973798,0.000957799902060072,0.000932754432108484,0.00103688957623632,0.000961307097118259,0.000955503057361425,0.000954534963535159,0.00108949393980925,0.00102423623593645,0.00101693873283087,0.00100139129100412,0.000988603227690848,0.000982775046814142,0.000919415713583162,0.000768760429191713,0.000697284193132261,0.000654403073483223,0.000650943605127208,0.000721035532659177,0.00069844322516008,0.00075136388256036,0.000738465681952299,0.000749398555261543,0.000769053869025918,0.0007047289383204,0.000660414431228691,0.000575503249631162,0.000570623989213143,0.000536361894493611,0.000537897387068337,0.000475440087089233,0.000495202330213312,0.000535908204219919
"19",0.00117704141065288,0.00114915062088409,0.00101981327215434,0.00110284436774034,0.00112244089966636,0.00117917501820209,0.00120833880309432,0.0013365639716788,0.00133985896918693,0.00144071492166065,0.00148703663772725,0.00145471307903444,0.00141226214301743,0.00150484757452871,0.00150432274804348,0.0014290301003527,0.00132400550550404,0.00131254133472343,0.00136592142630178,0.00135948267778867,0.00137237253607226,0.00139921324234748,0.00126095590841333,0.00115994913120099,0.00109715500814559,0.00111513539896563,0.00105965300304629,0.00114046281009782,0.00106517196434955,0.00107669418379514,0.0010167773816119,0.00113937819465066,0.00109469260949527,0.00105062227605226,0.00105681870526795,0.0010343070619464,0.00100123117893077,0.000935366460356104,0.000837895974274176,0.000790212084705829,0.00072244267308279,0.000752747305334636,0.000854434690731335,0.000820573894319206,0.00090695410188726,0.000885298124712636,0.000899388933710564,0.000930823426177346,0.000881103431667392,0.000829173072755829,0.00072035187033494,0.000710137753548323,0.000696512718614533,0.000689102405757066,0.00061285015333341,0.000637927283052828,0.000687160749392645
